N,kappa,Om,aO,reGa,imGa,psi,ok
4,0.7073578595317725,2.1874060197104344,4215.324579082136,-0.5441898397694388,-0.05686875948752444,0.10450169284972038,True
4,0.6020066889632107,1.8489924393648711,16067.353872828427,-0.4749645842340927,-0.03381706718535281,0.07119913422573336,True
4,0.6020066889632107,1.8457399035670894,25345.337466431418,-0.4777486468412548,-0.03415251391623518,0.07148636451833489,True
4,0.07023411371237459,1.1879967996809147,129.7709454908813,-2.9794796537637787,-0.32050552875939053,0.10757097413117662,True
4,0.07023411371237459,1.1786734862611272,573.5014264623971,-3.198581640500578,-0.3670358045410274,0.11474955020487966,True
4,0.4916387959866221,1.8080515916906936,2216.8260434218823,-0.7007395465719459,-0.02965848000679939,0.04232454148176766,True
4,0.4916387959866221,1.8008639684936576,3991.256899271711,-0.7160292203219643,-0.03097663112112446,0.04326168575522064,True
4,1.048494983277592,2.2050577129834497,9393.93330467997,-0.6236122424035893,-0.04952963930289115,0.07942377640308826,True
4,1.048494983277592,2.2018614424146237,14018.120006231704,-0.6313078273396425,-0.05102601735689166,0.08082589055155141,True
4,0.23076923076923078,1.5598923780898737,3885.4724529135965,-0.9031923623954652,-0.03238707465257256,0.03585844610850661,True
4,0.23076923076923078,1.5544921676579442,11013.004910176427,-0.9176235669564388,-0.03328431409324493,0.036272296496963216,True
4,1.0936454849498327,2.7986541290643854,50212.029171170514,-0.20175277500558364,-0.003557144249215991,0.017631203581301644,True
4,1.0936454849498327,2.795571447856168,70989.46301429265,-0.2024962662798024,-0.0035806596537823945,0.017682595929125734,True
4,0.10033444816053512,1.2143333414811919,123.051069905733,-2.889785179187153,-0.35119299964785894,0.12152910263960988,True
4,0.10033444816053512,1.2037209812300922,398.2096799998169,-3.136500272888127,-0.41001699187019475,0.1307243603370218,True
4,0.22575250836120403,1.6009779700656743,6969.114526705899,-0.8522894328595593,-0.044783652209166275,0.05254512197682703,True
4,0.22575250836120403,1.597716982030553,12628.182182727876,-0.8603563568661525,-0.045638091397582216,0.053045567727097336,True
4,0.49665551839464883,2.403026518648137,75246.00909789569,-0.22380623967390667,-0.00987052454304298,0.04410299086131232,True
4,0.49665551839464883,2.400308616583606,113329.54153751017,-0.2245541779602903,-0.009886385725799168,0.044026728051114045,True
4,0.7474916387959867,2.613032345907341,69799.25939560871,-0.20465057722389243,-0.010279566204245,0.05022984222027831,True
4,0.7474916387959867,2.6101300580107822,99426.26450722969,-0.20566346218492398,-0.010511450944063444,0.0511099581442035,True
4,0.7625418060200669,1.6883400331285665,9922.74650304381,-0.7600156456647565,-0.07580646713572133,0.09974329813883807,True
4,0.7625418060200669,1.6855247975402956,15735.794104432265,-0.7658025866945207,-0.07683319012946317,0.10033028284887734,True
4,0.3411371237458194,1.6149662292276517,1473.9564971111286,-0.8082745923102487,-0.08694299151505532,0.10756615677668495,True
4,0.3411371237458194,1.6063483853399878,2570.3726942216676,-0.8276297708658609,-0.09068693040979176,0.10957427294442983,True
4,0.38127090301003347,2.299420526314639,92075.31568469208,-0.2653978970778614,-0.012497925597968402,0.04709127591279222,True
4,0.38127090301003347,2.2964695426663373,176483.6537344827,-0.2663730118249915,-0.012574450216913998,0.0472061720170641,True
4,0.8979933110367894,2.1957616894754843,17084.83041391595,-0.35155820309534747,-0.025244184748703713,0.07180655870475347,True
4,0.8979933110367894,2.2007711636105434,11356.478431379102,-0.34761195101939923,-0.02483316020905483,0.0714393165604049,True
4,0.43645484949832775,1.496574467793886,491.22588649530564,-1.0413409106722857,-0.0800219600201314,0.07684511306529725,True
4,0.43645484949832775,1.4840623358020932,943.7016166180534,-1.0898457559303167,-0.0861587546795611,0.07905591613375974,True
4,0.637123745819398,1.9906447918212864,5955.270745561236,-0.4231303178849731,-0.019881064338333594,0.04698567674779147,True
4,0.637123745819398,1.9861676953260352,8259.095629759016,-0.42655086273529874,-0.02019256988363862,0.0473391842514438,True
4,0.16555183946488294,1.068447654289864,-1.2512962345098688,1.4350912169072827,-0.1949673861370744,0.13585713844534714,True
4,0.16555183946488294,1.0874011256134737,-176.01442018552737,1.7315869490896432,-0.2917029231719559,0.1684598762570453,True
4,0.6872909698996655,1.961433094172353,9927.02740945095,-0.47310555132508836,-0.018078667189272753,0.03821275641056732,True
4,0.6872909698996655,1.9563770746671905,18849.076674243293,-0.4782306524372295,-0.018464070670588802,0.03860913259426071,True
4,1.354515050167224,2.683579394726267,35566.977525469665,-0.21372660408131045,-0.005851906144226905,0.02738033558985758,True
4,1.354515050167224,2.6778277358663263,67575.0730351865,-0.2153977793043127,-0.0059543795765567425,0.02764364421856193,True
5,0.1354515050167224,1.3390287996550116,133.89876335062613,-2.164114566229154,-0.5727305517250827,0.26464890568295235,True
5,0.1354515050167224,1.326887388259973,40.12645835327344,-2.3431869466221085,-0.6952286060676967,0.2967021504920571,True
