J,fd,F,code,kind
5.0,-50.94467870309242,195.1462651003325,0,real
5.0,-50.94467870309242,197.09931032553965,0,real
5.0,-50.94467870309242,199.05235555074677,0,real
5.0,-50.94467870309242,201.00540077595392,0,real
5.0,-50.94467870309242,202.95844600116106,0,real
5.0,-50.94467870309242,204.91149122636818,0,real
5.0,-50.921478703092426,166.86766404898776,0,real
5.0,-50.921478703092426,168.52327760087647,0,real
5.0,-50.921478703092426,170.17889115276517,0,real
5.0,-50.921478703092426,171.83450470465388,0,real
5.0,-50.921478703092426,173.4901182565426,0,real
5.0,-50.921478703092426,175.1457318084313,0,real
5.0,-50.921478703092426,176.80134536032003,0,real
5.0,-50.921478703092426,178.45695891220873,0,real
5.0,-50.921478703092426,180.11257246409744,0,real
5.0,-50.921478703092426,181.76818601598615,0,real
5.0,-50.921478703092426,183.42379956787485,0,real
5.0,-50.921478703092426,185.07941311976356,0,real
5.0,-50.921478703092426,186.73502667165226,0,real
5.0,-50.921478703092426,188.39064022354097,0,real
5.0,-50.921478703092426,190.0462537754297,0,real
5.0,-50.921478703092426,191.70186732731838,0,real
5.0,-50.921478703092426,193.35748087920712,0,real
5.0,-50.921478703092426,195.01309443109582,0,real
5.0,-50.921478703092426,196.66870798298453,0,real
5.0,-50.921478703092426,198.32432153487323,0,real
5.0,-50.921478703092426,199.97993508676194,0,real
5.0,-50.921478703092426,201.63554863865065,0,real
5.0,-50.89827870309242,169.92561418631385,0,real
5.0,-50.89827870309242,171.28586685184757,0,real
5.0,-50.89827870309242,172.64611951738127,0,real
5.0,-50.89827870309242,174.00637218291496,0,real
5.0,-50.89827870309242,175.36662484844868,0,real
5.0,-50.89827870309242,176.72687751398237,0,real
5.0,-50.89827870309242,178.08713017951607,0,real
5.0,-50.89827870309242,179.4473828450498,0,real
5.0,-50.89827870309242,180.80763551058348,0,real
5.0,-50.89827870309242,182.16788817611717,0,real
5.0,-50.89827870309242,183.5281408416509,0,real
5.0,-50.89827870309242,184.8883935071846,0,real
5.0,-50.89827870309242,186.2486461727183,0,real
5.0,-50.89827870309242,187.608898838252,0,real
5.0,-50.89827870309242,188.9691515037857,0,real
5.0,-50.89827870309242,190.32940416931942,0,real
5.0,-50.89827870309242,191.6896568348531,0,real
5.0,-50.89827870309242,193.0499095003868,0,real
5.0,-50.89827870309242,194.41016216592053,0,real
5.0,-50.89827870309242,195.77041483145422,0,real
5.0,-50.89827870309242,197.1306674969879,0,real
5.0,-50.89827870309242,198.49092016252163,0,real
5.0,-50.87507870309242,173.0539546817691,0,real
5.0,-50.87507870309242,174.12413017889116,0,real
5.0,-50.87507870309242,175.19430567601322,0,real
5.0,-50.87507870309242,176.26448117313527,0,real
5.0,-50.87507870309242,177.3346566702573,0,real
5.0,-50.87507870309242,178.40483216737934,0,real
5.0,-50.87507870309242,179.4750076645014,0,real
5.0,-50.87507870309242,180.54518316162344,0,real
5.0,-50.87507870309242,181.6153586587455,0,real
5.0,-50.87507870309242,182.68553415586754,0,real
5.0,-50.87507870309242,183.7557096529896,0,real
5.0,-50.87507870309242,184.82588515011162,0,real
5.0,-50.87507870309242,185.89606064723367,0,real
5.0,-50.87507870309242,186.96623614435572,0,real
5.0,-50.87507870309242,188.03641164147777,0,real
5.0,-50.87507870309242,189.10658713859982,0,real
5.0,-50.87507870309242,190.17676263572187,0,real
5.0,-50.87507870309242,191.24693813284392,0,real
5.0,-50.87507870309242,192.31711362996595,0,real
5.0,-50.87507870309242,193.387289127088,0,real
5.0,-50.87507870309242,194.45746462421005,0,real
5.0,-50.87507870309242,195.5276401213321,0,real
5.0,-50.851878703092424,176.2242262833293,0,real
5.0,-50.851878703092424,177.01411014227642,0,real
