kappa,beta_1,branch,omega_cusp,F_cusp,y_cusp,alpha,beta
0.140000,0.726667,0,1.079173,1.108417e-02,7.450826e-02,-6.091050e-02,3.516670e-02
0.140000,0.823333,0,1.079173,1.041317e-02,6.576033e-02,-6.091050e-02,3.516670e-02
0.140000,0.920000,0,1.079173,9.850923e-03,5.885073e-02,-6.091050e-02,3.516670e-02
0.140000,1.016667,0,1.079173,9.370905e-03,5.325508e-02,-6.091050e-02,3.516670e-02
0.140000,1.113333,0,1.079173,8.954848e-03,4.863114e-02,-6.091050e-02,3.516670e-02
0.140000,1.210000,0,1.079173,8.589703e-03,4.474601e-02,-6.091050e-02,3.516670e-02
0.140000,1.306667,0,1.079173,8.265867e-03,4.143572e-02,-6.091050e-02,3.516670e-02
0.140000,1.403333,0,1.079173,7.976097e-03,3.858147e-02,-6.091050e-02,3.516670e-02
0.140000,1.500000,0,1.079173,7.714809e-03,3.609511e-02,-6.091050e-02,3.516670e-02
0.140000,0.050000,1,1.298616,1.545190e+00,1.192982e+01,-6.710522e-01,3.874322e-01
0.140000,0.146667,1,1.298616,9.021967e-01,4.066983e+00,-6.710522e-01,3.874322e-01
0.140000,0.243333,1,1.298616,7.004323e-01,2.451332e+00,-6.710522e-01,3.874322e-01
0.140000,0.340000,1,1.298616,5.925534e-01,1.754385e+00,-6.710522e-01,3.874322e-01
0.140000,0.436667,1,1.298616,5.228678e-01,1.366010e+00,-6.710522e-01,3.874322e-01
0.140000,0.533333,1,1.298616,4.731159e-01,1.118420e+00,-6.710522e-01,3.874322e-01
0.140000,0.630000,1,1.298616,4.353080e-01,9.468109e-01,-6.710522e-01,3.874322e-01
0.140000,0.726667,1,1.298616,4.053212e-01,8.208590e-01,-6.710522e-01,3.874322e-01
0.140000,0.823333,1,1.298616,3.807843e-01,7.244828e-01,-6.710522e-01,3.874322e-01
0.140000,0.920000,1,1.298616,3.602243e-01,6.483596e-01,-6.710522e-01,3.874322e-01
0.140000,1.016667,1,1.298616,3.426712e-01,5.867123e-01,-6.710522e-01,3.874322e-01
0.140000,1.113333,1,1.298616,3.274570e-01,5.357702e-01,-6.710522e-01,3.874322e-01
0.140000,1.210000,1,1.298616,3.141046e-01,4.929676e-01,-6.710522e-01,3.874322e-01
0.140000,1.306667,1,1.298616,3.022627e-01,4.564981e-01,-6.710522e-01,3.874322e-01
0.140000,1.403333,1,1.298616,2.916665e-01,4.250529e-01,-6.710522e-01,3.874322e-01
0.140000,1.500000,1,1.298616,2.821118e-01,3.976606e-01,-6.710522e-01,3.874322e-01
0.140000,0.050000,2,1.323428,7.911972e-01,7.635470e+00,-4.294952e-01,2.479691e-01
0.140000,0.146667,2,1.323428,4.619597e-01,2.603001e+00,-4.294952e-01,2.479691e-01
0.140000,0.243333,2,1.323428,3.586485e-01,1.568932e+00,-4.294952e-01,2.479691e-01
0.140000,0.340000,2,1.323428,3.034103e-01,1.122863e+00,-4.294952e-01,2.479691e-01
0.140000,0.436667,2,1.323428,2.677286e-01,8.742904e-01,-4.294952e-01,2.479691e-01
0.140000,0.533333,2,1.323428,2.422537e-01,7.158253e-01,-4.294952e-01,2.479691e-01
0.140000,0.630000,2,1.323428,2.228946e-01,6.059896e-01,-4.294952e-01,2.479691e-01
0.140000,0.726667,2,1.323428,2.075402e-01,5.253763e-01,-4.294952e-01,2.479691e-01
0.140000,0.823333,2,1.323428,1.949763e-01,4.636925e-01,-4.294952e-01,2.479691e-01
0.140000,0.920000,2,1.323428,1.844488e-01,4.149712e-01,-4.294952e-01,2.479691e-01
0.140000,1.016667,2,1.323428,1.754609e-01,3.755149e-01,-4.294952e-01,2.479691e-01
0.140000,1.113333,2,1.323428,1.676707e-01,3.429103e-01,-4.294952e-01,2.479691e-01
0.140000,1.210000,2,1.323428,1.608337e-01,3.155153e-01,-4.294952e-01,2.479691e-01
0.140000,1.306667,2,1.323428,1.547702e-01,2.921736e-01,-4.294952e-01,2.479691e-01
